유형,직업,호불호
ISFJ,회계 감사,
INTP,변호사,
ENTP,은행원,불호
ENTJ,기술 관리직,
ENTP,IT 개발 운영,불호
INFP,기획,
ISFJ,차량 정비,
ESTJ,은행원,
ESTJ,은행원,호
ESFJ,승무원,
ISTJ,간호사,
INFJ,사업부,
ENTP,포워딩,불호
ENFP,선사,불호
INTP,개발자,
ESTJ,조직 관리,
ENTJ,엔지니어,
INTP,기획자,
INFJ,경찰,
ESTP,영업,
ENFJ,마케터,
ISTJ,개발자,
INTJ,프로그래머,
INXJ,제약 영업,
ESTJ,자금세탁방지 업무,
ENTP,개발자,
ISTJ,개발자,
ENXX,마케터,
ENTJ,마케팅,
ENFP,부동산,
INFJ,간호사,
ISFJ,금융,
ESTJ,통계,
ENTP,"미디어
마케팅",
INFP,개발자,
INTP,개발자,
INFP,FDS,
INFJ,엔지니어,
ENTJ,설계,
ISTP,소프트웨어 개발,
ESFJ,연구원,
ISTP,은행원,
ESTJ,회계,
INTP,사무직,
ESTJ,설계,
ENFP,은행원,
INTP,디자이너,
ESFJ,기술 영업,
INTJ,마케팅,
ENFP,승무원,
ENTP,연구원,
ENTJ,연구 개발,
ESFP,연구원,
INTP,마케팅,
ESTJ,공무원,
ISTJ,시스템 엔지니어,
INFP,기술 영업,
INFP,"행정직
민원응대",불호
ESFP,엔지니어,
ESTJ,사무직,
ENFJ,개발자,
ENFP,마케팅,
INTP,조리사,
ESTJ,설계 엔지니어,
ENFJ,엔지니어,
ISTJ,엔지니어,
INTP,엔지니어,
INFP,물류,
INTJ,소프트웨어 개발,
ISFJ,마케팅,
ENFP,연구원,
ESTJ,"행정
사업",
INFP,건축 디자인,
INTJ,전산,
ISTP,영양사,
ISFP,교사,
INTP,영업,
ESFP,승무원,
ENTP,증권,
INTJ,설계 엔지니어,
ENTP,공돌이,
ESFP,영업,
INTJ,엔지니어,
EXTJ,"마케팅
기획",호
ESTJ,기획,
INTP,기획,
ENFP,회계,
ENFP,마케팅,
INFJ,공무원,
INFP,사서,
ENFP,노무사,
ENFP,브로커,호
INFJ,야놀자,
ENTP,기획,호
ESTJ,관리직,
ISFP,은행원,불호
ISTJ,공돌이,
INTP,프로그래머,
INFJ,"사무
기획",
